Course	Minimum Grade	Prerequisite
Physical Science	9	none
Biology	9	none
Biology Honors	9	Biology
Chemistry	10	Biology
Chemistry Honors	10	Biology Honors
Biology II	11	Biology
Earth Systems	9	none
Environmental Science	9	none
Forensic Science	11	Biology
Physics	11	Chemistry
AP Physics 1	11	Physics
AP Physics C Mechanics	11	AP Physics 1
AP Physics C Mechanics: E&M	12	AP Physics C Mechanics
AP Environmental Science	10	Environmental Science
AP Chemistry	11	Chemistry Honors
AP Biology	10	Biology Honors
Epidemiology	11	Biology II
AP Research	12	AP Seminar
World History	10	none
AP World History	10	World History
US History	11	World History
AP US History	11	US History
Government/Economics	12	US History
AP Government	12	Government/Economics
AP Macroeconomics	12	Government/Economics
AP Micro/Macroeconomics	12	AP Macroeconomics
Algebra: Concepts & Connections	9	none
Algebra: Concepts & Connections & Support	9	Algebra: Concepts & Connections
Accel Adv Algebra: Concept & Connections	9	Algebra: Concepts & Connections
Geometry: Concept & Connections	9	Algebra: Concepts & Connections
Geom: Concepts & Connections & Support	9	Geometry: Concept & Connections
Geom: Concepts & Connections Honors	9	Geometry: Concept & Connections
Advanced Algebra: Concepts & Conn	10	Geometry: Concept & Connections
Advanced Algebra: Concepts & Connections Honors	10	Geometry: Concepts & Connections Honors
Pre-Calculus	10	Advanced Algebra: Concepts & Conn
AP Pre-Calculus	11	Pre-Calculus
Calculus	11	AP Pre-Calculus
AP Calculus AB	11	AP Pre-Calculus
AP Calculus BC	11	AP Calculus AB
AP Calculus AB/BC (2 periods)	11	AP Calculus AB
AP Statistics	10	Pre-Calculus
Statistical Reasoning	11	AP Statistics
Adv Math Decision Making	11	Advanced Algebra: Concepts & Conn
College Readiness Math	12	none
DL Calculus Georgia Tech	11	AP Pre-Calculus
Literature & Composition I	9	none
Literature & Composition I Honors	9	none
Literature & Composition II	10	Literature & Composition I
Literature & Composition II Honors	10	Literature & Composition I Honors
American Literature	11	Literature & Composition II
AP English Lang & Comp	11	American Literature
Advanced Composition	12	AP English Lang & Comp
AP Lit/Comp	12	Advanced Composition
Multicultural Lit & Comp	12	AP Lit/Comp
Spanish II	9	Spanish I
Spanish II/III (2 pds)	9	Spanish I
Spanish III	10	Spanish II
Spanish IV	11	Spanish III
Spanish V	12	Spanish IV
AP Spanish Lang	11	Spanish IV
AP Spanish Literature	11	AP Spanish Lang
French I	9	none
French II	10	French I
French III	10	French II
French IV	11	French III
AP French	11	French IV
German I	9	none
German II	10	German I
German III	10	German II
